,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,How can entrepreneurs raise angel money to fund their startup before raising additional capital?,"['This obviously raises the issue of how you’re supposed to do\nthat before you’ve raised money.\nTry to raise angel money, or bootstrap oW of initial customers\nor consulting contracts, or work on it aaer hours while keeping\nyour current job, or quit your job and live oW of credit cards for\na while.\nLots of entrepreneurs have done these things and succeeded —\nand of course, many have failed.\nNobody said this would be easy.\nThe most valuable thing you can do is actually build your prod-\nuct. When in doubt, focus on that.\nThe next most valuable thing you can do is get customers — or,']","Try to raise angel money, or bootstrap off initial customers or consulting contracts, or work on it after hours while keeping your current job, or quit your job and live off of credit cards for a while.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,Why do some people believe that intelligence is overrated in the hiring process?,"['Criteria 7rst\nLots of people will tell you to hire for intelligence.\nEspecially in this industry.\nYou will read, hire the smartest people out there and your com-\npany’s success is all but guaranteed.\nI think intelligence, per se, is highly overrated.\nSpeciXcally, I am unaware of any actual data that shows a cor-']","Some people believe that intelligence is overrated in the hiring process because they think that intelligence, per se, is highly overrated. They argue that hiring the smartest people does not guarantee a company's success, and there is a lack of actual data showing a correlation between intelligence and success.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 73, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,How is the tendency for quick decision-making explained in the context of evolution and survival instincts?,"['Four: Doubt-Avoidance Tendency\nThe brain of man is programmed with a tendency to quickly\nremove doubt by reaching some decision.\nIt is easy to see how evolution would make animals, over the eons,\ndria toward such quick elimination of doubt. Aaer all, the one\nthing that is surely counterproductive for a prey animal that is\nthreatened by a predator is to take a long time in deciding what to\ndo…\nSo pronounced is the tendency in man to quickly remove doubt\nby reaching some decision that behavior to counter the tendency is\nrequired from judges and jurors. Here, delay before decision mak-']",The tendency for quick decision-making is explained in the context of evolution and survival instincts by the need for prey animals to quickly eliminate doubt when faced with a predator. Taking a long time to decide what to do in such situations would be counterproductive and potentially life-threatening. This tendency has been ingrained in the brain of man over the eons as a survival mechanism.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 154, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How does Structured Procrastination suggest using procrastination to your advantage?,"['like?\nStructured procrastination\nThis is a great one.\nThis one is liaed straight from the genius mind of John Perry,\na philosophy professor at Stanford. (Read his original descrip-\ntion, by all means. You even get to see a photo of him practicing\njumping rope with seaweed on a beach while work awaits. Out-\nstanding.)\nThe gist of Structured Procrastination is that you should never\nXght the tendency to procrastinate — instead, you should use it\nto your advantage in order to get other things done.\nGenerally in the course of a day, there is something you have to']","Structured Procrastination suggests that instead of fighting the tendency to procrastinate, you should use it to your advantage by getting other tasks done while procrastinating. By embracing procrastination and channeling it towards productive tasks, you can make progress on multiple fronts.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 135, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,"Why is geographic locality still critically important for maximizing access to the best companies, people, and opportunities?","['is a mistake. A lot of people — those who don’t live in that place\n— don’t want to hear it. But it’s true. Geographic locality is still\n— even in the age of the Internet — critically important if you\nwant to maximize your access to the best companies, the best\npeople, and the best opportunities. You can always cite exceptions,\nbut that’s what they are: exceptions.\nNo one cares who the top Xlmmaker in Chicago is — hell, peo-\nple oaen don’t even care who the top Xlmmaker in New York is,\nand quite a lot of Xlms get made out of New York. On the other']","Geographic locality is still critically important for maximizing access to the best companies, people, and opportunities because even in the age of the Internet, being in a specific place can provide unique advantages in terms of networking, job opportunities, and access to resources. While there are exceptions to this rule, the general consensus is that physical location still plays a significant role in professional success and growth.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 126, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,How did open source software contribute to the growth of Internet businesses in the late 90's?,"['late 90’s — due to commodity hardware, open source soaware,\nmodern programming technologies, cheap bandwidth, the rise\nof third-party ad networks, and other infrastructure factors.\nAnd the market size for a new Internet business today is about\n10x bigger than it was in the late 90’s — there are about 10x\nmore people online (really!), and they are far more used to\ndoing things on the Internet today than they were in 1999.\n(Want evidence of that last point? Clothing purchases are now\nbigger than computer hardware and soaware sales online. I can']","Open source software contributed to the growth of Internet businesses in the late 90's by providing access to commodity hardware, modern programming technologies, and cheap bandwidth. This allowed for the development of new Internet businesses at a lower cost and with greater flexibility. Additionally, the availability of open source software enabled the rise of third-party ad networks and other infrastructure factors that supported the expansion of online businesses.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 188, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,What are some of the challenges faced by startups in establishing necessary systems and routines for success?,"['structure that any established company has.\nIn a startup it is very easy for the code to not get written, for the\nuser interfaces to not get designed… for people to not come into\nwork… and for the wastebaskets to not get emptied.\nYou as the founder have to put all of these systems and routines\nand habits in place and get everyone actually rowing — forget\neven about rowing in the right direction: just rowing at all is\nhard enough at the start.\nAnd until you do, absolutely nothing happens.\nUnless, of course, you do it yourself.\nHave fun emptying those wastebaskets.']","Some of the challenges faced by startups in establishing necessary systems and routines for success include the risk of code not being written, user interfaces not being designed, employees not showing up for work, and tasks like emptying wastebaskets being neglected. As a founder, it is crucial to implement these systems and habits to ensure that everyone is working towards the common goal, even if the direction may not be perfect initially. Without these foundational elements in place, progress is unlikely to occur unless the founder takes on all responsibilities personally.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 9, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,How can a technical degree teach you to think like a mathematician?,"['•\nPlus, technical degrees teach you how think like an engineer,\na scientist, an economist, or a mathematician — how to use\nreason, logic, and data. This is incredibly useful in the real\nworld, which generally demands rigorous thinking on the\npath to doing anything big.\n•\nPlus, technical degrees indicate seriousness of purpose to\nfuture employers and partners. You get coded right up front\nas someone who is intent on doing real things.\nGraduating with a technical degree is like heading out into the real\n108\nThe Pmarca Blog Archives']","Technical degrees can teach you to think like a mathematician by emphasizing reasoning, logic, and data analysis skills. These degrees train individuals to approach problems methodically and analytically, similar to how mathematicians work. By developing these skills, technical degree holders can tackle complex challenges effectively.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,How does Structured Procrastination suggest using procrastination to your advantage?,"['like?\nStructured procrastination\nThis is a great one.\nThis one is liaed straight from the genius mind of John Perry,\na philosophy professor at Stanford. (Read his original descrip-\ntion, by all means. You even get to see a photo of him practicing\njumping rope with seaweed on a beach while work awaits. Out-\nstanding.)\nThe gist of Structured Procrastination is that you should never\nXght the tendency to procrastinate — instead, you should use it\nto your advantage in order to get other things done.\nGenerally in the course of a day, there is something you have to']","Structured Procrastination suggests that instead of fighting the tendency to procrastinate, you should use it to your advantage by getting other tasks done while procrastinating. This approach allows you to be productive in different areas while still acknowledging the natural inclination to procrastinate.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 135, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,What steps can be taken to help with retention of great people in the company?,"['problem — your original product cycle has peaked and you\nneed to Xnd a new product cycle. That’s your big challenge,\nway beyond retention. But I’ll talk about that in a future post.\nRetention follows from the steps you are taking to orchestrate\nthe turnaround and/or get to the next big product cycle.\nHaving adroitly sidestepped most of what you need to do, let\nme now address some things you can\ncan do to help the retention\nPart 2: Retaining great people\n87']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 91, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
